GAME,STADIUM,DATE,TIME,AWAY TEAM,SCORE_A,HOME TEAM,SCORE_H,W,YEAR
213,,2020-09-26,,中信兄弟,5.0,樂天,2.0,中信兄弟,2020
214,,2020-09-26,,富邦,5.0,統一7-ELEVEn,3.0,富邦,2020
216,,2020-09-27,,富邦,20.0,統一7-ELEVEn,15.0,富邦,2020
217,,2020-09-29,,中信兄弟,1.0,統一7-ELEVEn,14.0,統一7-ELEVEn,2020
218,,2020-09-30,,中信兄弟,7.0,統一7-ELEVEn,6.0,中信兄弟,2020
219,,2020-09-30,,樂天,0.0,富邦,8.0,富邦,2020
220,,2020-10-01,,樂天,7.0,富邦,2.0,樂天,2020
221,,2020-10-02,,樂天,15.0,統一7-ELEVEn,2.0,樂天,2020
222,,2020-10-02,,中信兄弟,7.0,富邦,0.0,中信兄弟,2020
223,,2020-10-03,,樂天,8.0,統一7-ELEVEn,10.0,統一7-ELEVEn,2020
224,,2020-10-03,,中信兄弟,2.0,富邦,3.0,富邦,2020
225,,2020-10-04,,樂天,3.0,統一7-ELEVEn,9.0,統一7-ELEVEn,2020
226,,2020-10-04,,中信兄弟,5.0,富邦,4.0,中信兄弟,2020
227,,2020-10-06,,統一7-ELEVEn,4.0,富邦,6.0,富邦,2020
228,,2020-10-07,,統一7-ELEVEn,4.0,富邦,2.0,統一7-ELEVEn,2020
229,,2020-10-07,,樂天,1.0,中信兄弟,8.0,中信兄弟,2020
230,,2020-10-08,,樂天,5.0,中信兄弟,8.0,中信兄弟,2020
231,,2020-10-09,,富邦,2.0,樂天,13.0,樂天,2020
232,,2020-10-09,,統一7-ELEVEn,2.0,中信兄弟,5.0,中信兄弟,2020
233,,2020-10-10,,富邦,6.0,樂天,2.0,富邦,2020
234,,2020-10-10,,統一7-ELEVEn,7.0,中信兄弟,2.0,統一7-ELEVEn,2020
235,,2020-10-11,,富邦,15.0,樂天,11.0,富邦,2020
236,,2020-10-11,,統一7-ELEVEn,7.0,中信兄弟,3.0,統一7-ELEVEn,2020
237,,2020-10-13,,中信兄弟,5.0,富邦,3.0,中信兄弟,2020
238,,2020-10-13,,樂天,3.0,統一7-ELEVEn,4.0,統一7-ELEVEn,2020
239,,2020-10-14,,中信兄弟,7.0,富邦,7.0,-,2020
240,,2020-10-14,,樂天,13.0,統一7-ELEVEn,6.0,樂天,2020
129,,2020-10-16,,富邦,4.0,統一7-ELEVEn,3.0,富邦,2020
153,,2020-10-17,,中信兄弟,11.0,樂天,1.0,中信兄弟,2020
215,,2020-10-18,,中信兄弟,13.0,樂天,7.0,中信兄弟,2020
157,,2020-10-20,,富邦,1.0,中信兄弟,6.0,中信兄弟,2020
147,,2020-10-21,,樂天,2.0,富邦,4.0,富邦,2020
193,,2020-10-24,,中信兄弟,2.0,統一7-ELEVEn,3.0,統一7-ELEVEn,2020
